wavelength_nm,x_bar,y_bar,z_bar,x_chromaticity,y_chromaticity
390,0.004803042719805542,0.0006402665086693413,0.020805610066405345,0.1829805892520063,0.02439210930844773
391,0.005641965731708379,0.0007316217982760168,0.02449396368190132,0.18277982898545933,0.0237019708254117
392,0.006638025476061828,0.0008380400793573655,0.02888256538614194,0.18257083130360602,0.023049274894435357
393,0.007817888296166914,0.0009616996274080117,0.0340926770116941,0.18235305057875542,0.022431742966228643
394,0.009211568332629762,0.0011049857899895128,0.04026141125987466,0.18212611485985306,0.021847177553171622
395,0.010852500087207208,0.0012704806903093642,0.047542259405391404,0.18188982486181415,0.021293481538239293
396,0.012777509990693974,0.0014609437899887703,0.056105175741279545,0.18164416703441003,0.020768672300775195
397,0.01502665983942508,0.00167928148969097,0.06613610846112457,0.18138928089627407,0.02027088289030725
398,0.01764292406550577,0.0019285046275930226,0.07783579531441297,0.18112541698288412,0.019798373757620915
399,0.02067169150284353,0.0022116725839740115,0.09141768234534249,0.18085303807881228,0.01934953924754034
400,0.024160009130802428,0.0025318216212449644,0.10710480011056035,0.18057262709112393,0.018922910128019783
401,0.028155812545925463,0.0028919890519281503,0.1251261490994434,0.18028494777914825,0.018517742805479298
402,0.032707512223091866,0.003295575298238161,0.14571412935715278,0.17999126766818083,0.018135735043983008
403,0.03786241220751253,0.0037462044893925594,0.16909764563289997,0.17969286621509578,0.017779274559618283
404,0.04366497772422474,0.004247647831152154,0.19549417737622404,0.17939095045135167,0.01745081805435723
405,0.05015501188380162,0.004803832622700503,0.22510123716414712,0.17908661450289776,0.017152864464096716
406,0.057365150449757873,0.005418536692442398,0.25808619480444017,0.17878010270623498,0.016887021803260058
407,0.06531671546789465,0.0060941000352839865,0.29457345784495015,0.1784686398417032,0.01665126203247319
408,0.07401791903105297,0.006831685099374559,0.334634282923815,0.17814871126732704,0.0164427197112524
409,0.08346180564270286,0.007631305946441232,0.3782763882103014,0.17781684936572323,0.01625863195137727
410,0.09362412966105686,0.008491629975069411,0.42543430032992857,0.17746965978372004,0.01609634917985945
