wavelength_nm,V_P,K_P_lm_per_W
390,0.0006402665086693413,0.4373033120881249
391,0.0007316217982760168,0.4996991584752749
392,0.0008380400793573655,0.5723830583099176
393,0.0009616996274080117,0.6568427781323011
394,0.0011049857899895128,0.7547075151205164
395,0.0012704806903093642,0.8677408646142669
396,0.0014609437899887703,0.9978275444461949
397,0.00167928148969097,1.1469526321099381
398,0.0019285046275930226,1.3171725361309492
399,0.0022116725839740115,1.5105768193879123
400,0.0025318216212449644,1.7292392552091727
401,0.0028919890519281503,1.9752343341511633
402,0.003295575298238161,2.250884551419872
403,0.0037462044893925594,2.558665194553873
404,0.004247647831152154,2.901152004666339
405,0.004803832622700503,3.2810273349918635
406,0.005418536692442398,3.700871449922769
407,0.0060941000352839865,4.162282570682361
408,0.006831685099374559,4.6660546516926384
409,0.007631305946441232,5.212197297141482
410,0.008491629975069411,5.79980033758475
411,0.00941045778436543,6.427361577792199
412,0.010387065877304893,7.09438686784224
413,0.01142122400778416,7.800718949183389
414,0.012512820034645268,8.546281229179401
415,0.013662003521088043,9.331175859796316
416,0.014868682648663414,10.155340128848902
417,0.016130167932099305,11.016937112491593
418,0.017442672084843597,11.913380086398439
419,0.018801989904831194,12.841796889108284
420,0.020203604468611424,13.799102452827203
421,0.021643686767758605,14.78268155710575
422,0.023122341422651998,15.792605657873208
423,0.024641743825775022,16.830360552567377
424,0.026205404384927012,17.898343856769646
425,0.027818214849481247,18.99989664513233
426,0.02948555943083079,20.1386963448569
427,0.031210171400163873,21.31660978565764
428,0.032994095541484136,22.535033559118197
429,0.03483934099565265,23.79533991248421
430,0.03674768621312424,25.09874353099027
431,0.03872032883873334,26.44606240846505
432,0.04075725552701862,27.83728742993165
433,0.042857534893177826,29.271782457698432
434,0.045019394835295816,30.748337142596178
435,0.047240172180755866,32.2651325323758
436,0.04951653790597298,33.81989489723882
437,0.051845224083358406,35.41039223607494
438,0.0542223870577897,37.0339993247114
439,0.05664349449311445,38.68762056844802
440,0.059103485461867694,40.36779934365589
441,0.06159832191530101,42.07177765492504
442,0.06412987699663444,43.800834862839004
443,0.06670295071453414,45.55824938296276
444,0.06932429332441961,47.348631653313014
445,0.07200285537589728,49.178094917257795
446,0.07474774789975175,51.052862027132356
447,0.07756075789127254,52.97415350431052
448,0.08044187372216371,54.941961406642825
449,0.08339125450334386,56.95639440720639
450,0.08640905263805428,59.017556597721295
451,0.08949820347776447,61.12745282914003
452,0.09267437681406741,63.29678560061033
453,0.09595832398181009,65.53972811553412
454,0.09937292063571816,67.87190449205951
455,0.1029430618423561,70.31031811067868
456,0.10669286663784093,72.87144232152868
457,0.1106366300908085,75.56504068521488
458,0.11478538670127027,78.39864978741983
459,0.11914911247121086,81.37908325754663
460,0.12373646596986686,84.5122549157839
461,0.1285528134711565,87.80182993800179
462,0.13359414393305824,91.24506877443909
463,0.13885077422089956,94.83535782465539
464,0.14430858417585313,98.56305299179607
465,0.14994873431068637,102.41528686822178
466,0.15575060385617778,106.37797542711519
467,0.1617022244084886,110.44294422460293
468,0.16779321196871613,114.60310096856695
469,0.1740124908931054,118.85088097206524
470,0.1803487694889347,123.17857198627732
471,0.18679216595580247,127.57942472167063
472,0.19333827728304903,132.05043191311643
473,0.19998613481185284,136.59093196469297
474,0.2067376916111722,141.20225882642367
475,0.21359833387361907,145.88809127868643
476,0.22057545247517707,150.65347730463066
477,0.22767320998885074,155.50125994998348
478,0.23489703348165714,160.43514591242365
479,0.24225520355504454,165.4607908593809
480,0.24975859351435062,170.58562128025162
481,0.2574188181216249,175.81757008085646
482,0.26524228369919356,181.16101279221817
483,0.2732338782634242,186.61928793933873
484,0.2813979901174197,192.19539274205604
485,0.2897380418385798,197.89166482761206
486,0.29826408863380116,203.71497192252394
487,0.30701840464809715,209.69418735278913
488,0.3160543496513767,215.86575594848617
489,0.3254286212106083,222.26840226179283
490,0.3352013906575173,228.9432234331967
491,0.34542411543461365,235.92536499933985
492,0.3560986551504048,243.21609707656995
493,0.36720935984292713,250.80473070941602
494,0.37873403461696364,258.6761067398424
495,0.3906431019065039,266.81002363082547
496,0.40290809442560926,275.1870381688618
497,0.41553090124694786,283.80844059438004
498,0.42852045209657097,292.68032992821816
499,0.44188412544301076,301.8077456792113
500,0.4556276136934434,311.19457577290007
501,0.46975045014452516,320.84050144996286
502,0.48423130603993186,330.7309551269684
503,0.4990397846954996,340.8451758075482
504,0.514140643198169,351.1590925112592
505,0.5294939190496576,361.6454107714667
506,0.5450562846023957,372.2745377178101
507,0.560785293194726,383.01748219507755
508,0.5766368314613768,393.8441146861391
509,0.5925646013968675,404.722813560212
510,0.6085207434843037,415.6208906710798
511,0.62445928313047,426.50694527918677
512,0.6403458382182916,437.35749432947705
513,0.6561508611928003,448.15235678252935
514,0.6718478290626647,458.8734173819642
515,0.6874137970604871,469.5050048055396
516,0.7028211454202171,480.028254697539
517,0.7180101352268119,490.40236525893795
518,0.7329116639680479,500.58013933502076
519,0.7474553382766118,510.5134981144514
520,0.7615694644048377,520.1534746234996
521,0.7751964166566765,529.4607103959603
522,0.7883416006786099,538.4388974992437
523,0.8010307983938707,547.1056450387287
524,0.8132942467055486,555.4816048799888
525,0.8251656201478048,563.5897767975281
526,0.8366727109383751,571.4491429319106
527,0.8478106262971493,579.0563615044887
528,0.8585651521802963,586.4017242947614
529,0.8689211838635763,593.4749147457189
530,0.8788631139257913,600.2652729573186
531,0.8883829810809662,606.7673613552407
532,0.8975041195953064,612.9971172901953
533,0.9062606607059,618.9778524657032
534,0.9146907448731577,624.7356168928713
535,0.9228368040381631,630.2993916727302
536,0.9307284268924619,635.6893859410661
537,0.9383286345197768,640.8803430237497
538,0.945582771782846,645.8349333521973
