wavelength_nm,L,M,S
390,0.0006633762927041082,0.0005228650534446424,0.009944484335272534
391,0.0007595875273514072,0.0005944353546881427,0.011707411480171329
392,0.0008716776358257384,0.0006777768076083982,0.013805037109137632
393,0.0010019151469276087,0.0007746456325174749,0.016295320897017757
394,0.0011527696171434927,0.0008869934661765513,0.019243798778882125
395,0.001326895358448127,0.0010169698618892743,0.022723835177694572
396,0.001527105113113981,0.001166918458237526,0.026816663366567826
397,0.0017563311183935995,0.0013393666333906865,0.03161116124393317
398,0.002017572368429937,0.0015370077363547118,0.03720327569137183
399,0.0023138312412851916,0.0017626660688318965,0.04369502779051398
400,0.0026480268389213585,0.002019262528213354,0.05119301974479351
401,0.0030230079276082383,0.002309857896630653,0.05980670721410741
402,0.0034418816919035288,0.002638038779230181,0.06964717074842493
403,0.003907857449477315,0.0030078268307394585,0.08082382024659245
404,0.004424156229603044,0.003423637636827449,0.09344060464220441
405,0.004993999798313848,0.0038903276252727696,0.10759192927699064
406,0.005620258521257501,0.004413013717739824,0.12335779211430158
407,0.006304030821714439,0.004996187977227723,0.14079765639058187
408,0.007044922868552011,0.0056439106901159716,0.15994558073326348
409,0.007841085411448609,0.006359821289018509,0.18080525420568677
410,0.008689012296387693,0.007146968746340992,0.203345382414425
411,0.009584166087134787,0.008007953443005684,0.22750168350771716
412,0.010523851755941423,0.008945971324236303,0.2531966689050206
413,0.011506038920624177,0.009964322174634999,0.2803318153471138
414,0.012528939225726978,0.01106616931000237,0.30878567085702024
415,0.01359120732668092,0.012254555234636096,0.3384178411518128
416,0.014691279446641578,0.013532263701631452,0.36906200983391435
417,0.015824463332425376,0.014900807836545472,0.400486909253493
418,0.016984844889695205,0.016360968576762846,0.43242385224995544
419,0.0181661361784806,0.01791307043029119,0.46458260493472747
420,0.019361838281843832,0.019556965340966615,0.4966579222094676
421,0.02056645290058423,0.0212925066804296,0.528371696550606
422,0.021779447670253315,0.02312102713519635,0.5595996006693545
423,0.0230028106976502,0.02504482060193953,0.5902963854273803
424,0.02424007923597135,0.02706694818550072,0.6204638163804939
425,0.02549634607726514,0.02919135701704493,0.6501488086561613
426,0.026777037650490432,0.031422740144527304,0.6793925617893648
427,0.02808398394982763,0.03376527993042549,0.7080648433935023
428,0.029418013032168507,0.036223158256776106,0.7359799227704235
429,0.03077981296306008,0.03880072850906968,0.7629380154233163
430,0.032169773138324344,0.041502271797486286,0.7887225519403317
431,0.033588094128175795,0.044330791124923476,0.8131465153118344
432,0.03503591716859652,0.047284027247442045,0.8362037182053925
433,0.036514422132047655,0.05035704453544505,0.857946510039298
434,0.03802456694592746,0.053542957284423674,0.8784382267433662
435,0.039567048768740544,0.05683286261383373,0.8977526056398608
436,0.041141957043390104,0.06021715394262082,0.9159091179385197
437,0.042747659694057194,0.06368974875834514,0.9326647599151002
438,0.04438152998039203,0.06724486940560966,0.9476954481198404
439,0.04604034557838964,0.07087594622665429,0.9606651823942475
440,0.04772042130204168,0.07457581281627065,0.9712350071979626
441,0.049419171521721726,0.0783380607002072,0.9791571935808537
442,0.05113999244371944,0.0821613864957745,0.984537819232152
443,0.05288893363150811,0.08604761502722819,0.9876009633840788
444,0.05467356091043245,0.09000114553831544,0.9886017665578136
445,0.0565031004334532,0.09402937975260194,0.9878209649638284
446,0.05838683110892301,0.09814007141311049,0.9854795456551826
447,0.060328190275505636,0.10233159298028234,0.9814928429208786
448,0.062329258821877814,0.10659986102930728,0.9757119591425443
449,0.06439227787580222,0.11094096400160505,0.9680038642807088
450,0.06651947709367546,0.11535099366217909,0.9582526586368297
451,0.06871480031571901,0.11983059032016799,0.9464439972256368
452,0.07099019472499506,0.12440089752671281,0.9329018907287616
453,0.0733607575810878,0.1290913252487233,0.918019807180599
454,0.07584289297785825,0.13393475874620203,0.9021659122797375
455,0.07845423899868373,0.13896740311833444,0.8856766338375552
456,0.08121215780834316,0.14422380173324997,0.8688140295623553
457,0.08412898507798686,0.14972044679505542,0.8516513092353779
458,0.08721541239825002,0.15546779221365847,0.8342092140893811
459,0.09048160935383705,0.16147430883446995,0.8164995010104603
460,0.09393711954200165,0.1677459531723028,0.7985264197301732
461,0.09758893446259738,0.17428432101990995,0.7802657218049539
462,0.10143531262726616,0.18108143729203854,0.7616002672313238
463,0.10546971837821822,0.18812258746919608,0.7423963879729877
464,0.10968222464077926,0.1953870865733358,0.7225302127792566
465,0.11405918575394425,0.20284811612459056,0.7018921344374115
466,0.11858570605510398,0.21047624369047185,0.6804160700638837
467,0.1232544080642198,0.21825191827151702,0.658153646808379
468,0.12805941893768838,0.22615714933799302,0.6351931814684286
469,0.13299437189588403,0.23417294810163747,0.6116337671276332
470,0.1380527699526685,0.24227996706818336,0.5875843556811119
471,0.1432288895335497,0.25046134808644427,0.5631675580091253
472,0.14852007535269318,0.25870978418319807,0.5385295218397812
473,0.15392586125511726,0.2670234381303904,0.513820871908418
474,0.15944787296504034,0.27540467927407364,0.48918879450797703
475,0.1650902278862983,0.28386075431038094,0.4647744143013492
476,0.17085855511272763,0.292401647495247,0.44071312766237153
477,0.17675619307186757,0.30103265479982816,0.4171400972021806
478,0.18278746390797643,0.3097607402041704,0.3941773319426812
479,0.188958858509528,0.3185967314241437,0.3719294896226459
480,0.19527884904663545,0.3275549457706808,0.350483519938814
481,0.20175672958347587,0.3366502015758918,0.3298974731933994
482,0.20839876110865688,0.3458884634628641,0.3101720702811256
483,0.21521039128467576,0.3552729772256523,0.29129426542422737
484,0.22219683618488054,0.3648060235584858,0.27324922297664483
485,0.22936271627392982,0.37448830622159857,0.25602009128983355
486,0.23671779755207462,0.3843293060626,0.23960008966838492
487,0.24429648086282668,0.39438184125347986,0.22402281066073
488,0.2521420623887448,0.40471282516103235,0.20931665068152816
489,0.2603009472055252,0.41539257698886317,0.19549379067348957
490,0.26882279807936943,0.42649491739320733,0.18255302620926125
491,0.2777510592952616,0.43808108138946716,0.17047375596055284
492,0.2870908122756655,0.4501464469502072,0.15919635165111862
493,0.2968334480042709,0.46266342892431583,0.1486568174308506
494,0.3069651049506811,0.4755961217875141,0.13879626346993995
495,0.31746591713037386,0.4888993896519591,0.12956054969988634
496,0.3283163543976641,0.5025305887906133,0.12090004292666344
497,0.3395195094029653,0.5164890518308954,0.11276954177094893
498,0.3510835633747446,0.5307841554539986,0.1051277447381452
499,0.3630152472606483,0.5454237039875973,0.09793706999240635
500,0.3753196909815106,0.5604138408807416,0.09116353048375558
501,0.3879973597193357,0.5757523382899591,0.08477775448545632
502,0.4010340082469058,0.5914064916860101,0.07875759472456427
503,0.41440848853506507,0.6073313398025105,0.07308380406787922
504,0.42809553798191674,0.6234761991032415,0.06773868653541446
505,0.4420658440934945,0.6397848967134635,0.06270599879048831
506,0.4562869963961301,0.6561977551784811,0.05797455796045294
507,0.4707265733834625,0.6726576147106766,0.053546906056030734
508,0.4853503612867045,0.689106081734801,0.049424205130748515
509,0.5001220290239418,0.7054826940781754,0.04560283060658276
510,0.5150036291106471,0.7217257115193912,0.04207546004552052
511,0.5299575376966416,0.7377781046347874,0.038828203056470265
512,0.5449516242017333,0.7536049974835212,0.03583207951060523
513,0.5599561468689159,0.7691805625319762,0.03305875682992136
514,0.5749431831506866,0.7844840009516382,0.030484206671978552
515,0.5898871503362839,0.7995000979563969,0.028087977687447127
516,0.604759519342127,0.8142061277388285,0.025854239251113107
517,0.6195107709439155,0.8285292154490294,0.02377512624932616
518,0.6340850503212607,0.8423822876746944,0.021844209792363973
519,0.6484254017804342,0.8556767563498647,0.02005473668534494
520,0.6624736979774939,0.8683226295340869,0.018399709873022883
521,0.6761825148292809,0.8802489417675678,0.016871632163587662
522,0.6895535007889529,0.8914678007120659,0.015461797233766679
523,0.7026046366068168,0.9020172572871279,0.01416169770114877
524,0.7153579290520721,0.9119401484855346,0.012963375779403596
525,0.7278386197139043,0.9212827548890195,0.011859390295151302
526,0.7400671780636257,0.9300839790718807,0.010842958863140987
527,0.7520359634238157,0.9383448304747635,0.009908327703060927
528,0.7637291726441614,0.9460557959635126,0.009050067901228514
529,0.7751301141448885,0.953206568083325,0.008262919428272194
530,0.7862215712366649,0.9597864371668812,0.0075418211020558444
531,0.7969940334996104,0.9657913578065626,0.0068817872173302635
532,0.8074699674698161,0.9712437140720747,0.006277576386496985
533,0.8176829774276151,0.9761748024824471,0.005724303517694156
534,0.8276708980642064,0.9806190447685287,0.005217561338029682
535,0.837476089399923,0.9846142135607052,0.004753371451396317
536,0.8471288342755326,0.9881851997226264,0.004328223759589712
537,0.8565947556496266,0.9912941422902252,0.003939239863439008
538,0.8658217255910341,0.9938876487081286,0.0035837733825002747
539,0.8747554450937975,0.9959121862005643,0.0032593053992236967
540,0.8833386891251643,0.997313498643249,0.0029634455915536224
541,0.8915211024103572,0.9980459789765294,0.0026939045022407737
542,0.8992917086356327,0.9981031289418639,0.002448433489557392
543,0.9066479740990092,0.9974865876625731,0.0022249343173716876
544,0.913585075819288,0.9961957583076815,0.0020214792163190097
545,0.9200958545258009,0.9942279348616327,0.0018363001141656996
546,0.9261838102037531,0.9915925114278631,0.0016677787608711883
547,0.9319017431902287,0.9883517882350937,0.0015144378625109557
548,0.93731365330877,0.9845778491628453,0.0013749266982167319
549,0.9424794232804803,0.9803360235337542,0.0012480083370291814
550,0.9474489171641151,0.9756791374574925,0.0011325450004042524
551,0.9522666000805521,0.9706495673911244,0.001027529797142559
552,0.9569625279430798,0.9652616648584897,0.0009321418533532105
553,0.9614662267908956,0.9594285399107827,0.0008455451952472143
554,0.9657018028881675,0.9530621705181536,0.0007669657641375656
555,0.9695919384544828,0.9460777588948772,0.0006956915534975008
556,0.9730780928541932,0.9384201367843967,0.0006310641685867991
557,0.9761809815273703,0.930139410572107,0.0005724635523207784
558,0.9789423234637666,0.9213110105929889,0.0005193240324218559
559,0.9814048401080161,0.9120090411601111,0.0004711336132664028
560,0.9836120258420844,0.9023058350446116,0.0004274287888791647
561,0.985596772301401,0.8922531159957799,0.00038779163192123107
562,0.9873472791359367,0.8818274299015703,0.00035184879274101664
563,0.9888403997754599,0.8709892664825024,0.0003192614360379568
564,0.9900528045090473,0.8597022001733402,0.00028972080517894705
565,0.9909609864278617,0.8479330292601618,0.0002629454416163043
566,0.9915448674496768,0.8356627149967035,0.00023867884258553374
567,0.9917985906627989,0.8229172387454415,0.00021668655859902834
568,0.9917198215882685,0.8097335353422996,0.00019675542097315402
569,0.9913061811262938,0.7961483473792498,0.00017869194618642752
570,0.9905551228963737,0.7821980233179021,0.00016232056160394545
571,0.9894590556557386,0.7679098694946309,0.00014748203075237178
