wavelength_nm,V_P,K_P_lm_per_W,V_P_q,log10_V_P_q
395.1,0.0012883564726137982,0.8799500598510154,0.0018019506141411681,-2.7442571158541167
395.2,0.0013064846037800166,0.8923316098674778,0.001826843020973319,-2.738298769590042
395.3,0.0013248679969568267,0.9048875043501441,0.0018520796733827473,-2.7323403346269695
395.4,0.0013435095652929933,0.9176197329854744,0.001877664381545012,-2.7263820320213235
395.5,0.0013624122219373241,0.9305302854599588,0.0019036009517822028,-2.7204240867301537
395.6,0.0013815788800385944,0.943621151460065,0.0019298931865677083,-2.7144667271414185
395.7,0.0014010124527455792,0.9568943206722605,0.001956544884531122,-2.70851018462474
395.8,0.0014207158532070867,0.9703517827830357,0.0019835598404631455,-2.7025546931021456
395.9,0.0014406919945718808,0.9839955274788502,0.002010941845320328,-2.6966004886383
396,0.0014609437899887703,0.9978275444461949,0.0020386946862300317,-2.6906478090496226
396.1,0.0014814741704864659,1.0118498355835692,0.0020668221714396683,-2.68469688829037
396.2,0.0015022861386134203,1.0260644516376003,0.0020953282051047314,-2.678747940954475
396.3,0.0015233827147980584,1.0404734555669721,0.0021242167123720805,-2.6728011786516377
396.4,0.001544766919468757,1.0550789103303357,0.002153491614427715,-2.6668568150157816
396.5,0.0015664417730539412,1.0698828788863755,0.002183156828501901,-2.660915065341448
396.6,0.001588410295982,1.0848874241937505,0.0022132162678740446,-2.6549761462375865
396.7,0.001610675508681321,1.10009460921112,0.0022436738418777145,-2.64904027529815
396.8,0.0016332404315803311,1.1155064968971684,0.0022745334559056756,-2.6431076707890213
396.9,0.0016561080851074052,1.131125150210546,0.002305799011414724,-2.63717855135082
397,0.00167928148969097,1.1469526321099381,0.0023374744059307885,-2.631253135716998
397.1,0.0017027636740491253,1.1629910112158934,0.002369563544589707,-2.625331640332537
397.2,0.0017265577000588187,1.17924237879652,0.0024020703747268408,-2.6194142729914756
397.3,0.0017506666378867498,1.1957088317818436,0.0024349988512335913,-2.613501239337655
397.4,0.0017750935576995644,1.2123924671018529,0.002468352925020518,-2.607592744788349
397.5,0.0017998415296639624,1.2292953816865737,0.002502136543022497,-2.601688994297607
397.6,0.0018249136239466036,1.2464196724660046,0.0025363536482035883,-2.595790192132824
397.7,0.0018503129107141458,1.2637674363701423,0.0025710081795620836,-2.5898965416640136
397.8,0.001876042460133291,1.281340770329014,0.002606104072135551,-2.584008245165372
397.9,0.0019021053423706824,1.2991417712726072,0.002641645257005675,-2.5781255036287276
398,0.0019285046275930226,1.3171725361309492,0.0026776356613033825,-2.5722485165883793
398.1,0.0019552433834702887,1.335435160128799,0.002714079204748017,-2.566377482511551
398.2,0.001982324667685728,1.3539317316699595,0.002750979789262356,-2.5605126002479306
398.3,0.0020097515354259546,1.3726643374530274,0.002788341309386755,-2.554654067119623
398.4,0.0020375270418775187,1.3916350641765565,0.002826167655751301,-2.5488020782242233
398.5,0.0020656542422270354,1.4108459985391442,0.0028644627150808954,-2.5429568263171474
398.6,0.002094136191661071,1.430299227239355,0.0029032303701999962,-2.537118501702896
398.7,0.0021229759453661907,1.4499968369757528,0.0029424745000375756,-2.53128729213481
398.8,0.00215217655852901,1.4699409144469353,0.0029821989796320722,-2.5254633827229904
398.9,0.002181741086336079,1.4901335463514562,0.003022407680136114,-2.5196469558500816
399,0.0022116725839740115,1.5105768193879123,0.003063104468821558,-2.513838191094493
399.1,0.002241974085208523,1.5312728056243836,0.003104293179424362,-2.508037269310283
399.2,0.0022726485381219103,1.5522235186070037,0.0031459775232293872,-2.5022443845647087
399.3,0.0023036988693756737,1.5734309572514582,0.00318816117815879,-2.4964597308720564
399.4,0.0023351280056312417,1.5948971204733844,0.003230847818451181,-2.4906834979289423
399.5,0.0023669388735501127,1.6166240071884668,0.00327404111466643,-2.4849158711181394
399.6,0.002399134399793735,1.6386136163123561,0.0033177447336901044,-2.4791570315167486
399.7,0.002431717511023552,1.6608679467606997,0.003361962338738127,-2.473407155908393
399.8,0.0024646911339010658,1.6833889974491847,0.0034066975893614505,-2.467666416799219
399.9,0.002498058195087703,1.706178767293447,0.003451954141450461,-2.4619349824375067
400,0.0025318216212449644,1.7292392552091727,0.003497735647239753,-2.4562130168365863
400.1,0.0025659844282645014,1.7525725210564205,0.0035440458785540945,-2.450500664698668
400.2,0.0026005499889587835,1.7761808684728853,0.003590889096291394,-2.444798007742889
400.3,0.002635521765370547,1.8000666620407126,0.0036382696802719325,-2.4391051127730323
400.4,0.002670903219542446,1.824232266341993,0.003686192005940434,-2.433422047047315
400.5,0.002706697813517217,1.8486800459588726,0.0037346604443717533,-2.427748878142908
400.6,0.0027429090093375355,1.8734123654734562,0.0037836793622761326,-2.4220856738279175
400.7,0.0027795402690460763,1.8984315894678474,0.003833253122004732,-2.4164325019404496
400.8,0.0028165950546855754,1.9237400825241928,0.003883386081555151,-2.410789430274513
400.9,0.0028540768282986875,1.9493402092245824,0.003934082594576665,-2.4051565264725197
401,0.0028919890519281503,1.9752343341511633,0.003985347010375869,-2.399533857924038
401.1,0.002930335215226363,2.001424840743537,0.0040371837119603845,-2.393921487578708
401.2,0.002969118918284619,2.027914187871292,0.004089597230083972,-2.388319462008645
401.3,0.0030083437888040057,2.05470485326156,0.004142592129003939,-2.3827278243273056
401.4,0.003048013454485519,2.081799314641412,0.004196172968429136,-2.377146618265403
401.5,0.0030881315430302462,2.1092000497379817,0.004250344303525859,-2.37157588805208
401.6,0.0031287016821392065,2.136909536278354,0.004305110684923295,-2.3660156783024355
401.7,0.0031697274995134183,2.164930251989615,0.004360476658719261,-2.36046603391109
401.8,0.0032112126228539687,2.1932646745988977,0.004416446766485932,-2.354926999951573
401.9,0.003253160679861853,2.221915281833272,0.004473025545275258,-2.3493986215813325
402,0.003295575298238161,2.250884551419872,0.004530217527624841,-2.3438809439520725
402.1,0.00333846012972181,2.280174977503717,0.004588027274598465,-2.338374008998233
402.2,0.003381818922203318,2.3097891199015623,0.0046464594748315624,-2.332877846297026
402.3,0.003425655447611179,2.3397295548481494,0.004705518845316566,-2.327392482920125
402.4,0.003469973477873786,2.3699988585781506,0.004765210098356913,-2.3219179465376074
402.5,0.0035147767849196326,2.400599607326307,0.004825537941573141,-2.3164542653182645
402.6,0.0035600691406771374,2.431534377327309,0.004886507077908471,-2.3110014678351853
402.7,0.003605854317074719,2.462805744815846,0.00494812220563471,-2.3055595829763402
402.8,0.003652136086040871,2.494416286026659,0.005010388018358153,-2.30012863985999
402.9,0.003698918219503986,2.5263685771944204,0.005073309205025138,-2.2947086677547586
403,0.0037462044893925594,2.558665194553873,0.0051368904499281024,-2.2892996960041097
403.1,0.003793998690950226,2.5913087302640454,0.00520113646467359,-2.2839017512862685
403.2,0.00384230471268149,2.6243018401813285,0.005266052084012169,-2.2785148498089063
403.3,0.0038911264664061563,2.65764719608651,0.005331642169845961,-2.27313900570907
403.4,0.003940467863943918,2.6913474697603017,0.005397911579256016,-2.2677742337023825
403.5,0.003990332817114581,2.725405332983492,0.005464865164508582,-2.2624205489992355
403.6,0.004040725237737865,2.7598234575368115,0.005532507773060809,-2.2570779672253685
403.7,0.004091649037633494,2.794604515200991,0.005600844247566821,-2.251746504346576
403.8,0.00414310812862127,2.829751177756818,0.0056698794258837676,-2.246426176597415
403.9,0.004195106422520889,2.8652661169850044,0.005739618141077508,-2.241117000413778
404,0.004247647831152154,2.901152004666339,0.005810065221428838,-2.235818992369108
404.1,0.004300736305129442,2.937411539078378,0.005881225543490553,-2.230532165196648
404.2,0.004354375950245727,2.974047524485975,0.005953104191142673,-2.2252565163660454
404.3,0.004408570911088734,3.0110627916508745,0.006025706296260695,-2.219992040439271
404.4,0.004463325332246061,3.0484601713347357,0.006099036985643915,-2.214738732995413
404.5,0.00451864335830543,3.0862424942992996,0.006173101381022023,-2.2094965905435195
404.6,0.00457452913385447,3.124412591306248,0.006247904599061089,-2.2042656104395997
404.7,0.0046309868034808115,3.1629732931172603,0.00632345175136994,-2.1990457908075456
404.8,0.004688020511772179,3.201927430494081,0.0063997479445065345,-2.193837130463862
404.9,0.004745634403316168,3.241277834198367,0.006476798279983897,-2.1886396288460777
405,0.004803832622700503,3.2810273349918635,0.006554607854276691,-2.1834532859446285
405.1,0.004862618986548213,3.3211785396357683,0.00663318131144505,-2.178278131529619
405.2,0.004921995999623899,3.3617331588893373,0.006712521501877879,-2.173114310136789
405.3,0.004981965838727668,3.402692679511419,0.006792630825989784,-2.167961988322909
405.4,0.005042530680659489,3.4440585882607664,0.006873511681826745,-2.1628213248931654
405.5,0.005103692702219466,3.4858323718962243,0.006955166465069403,-2.157692471136218
405.6,0.005165454080207602,3.52801551717657,0.0070375975690356585,-2.1525755710535557
405.7,0.005227816991423899,3.5706095108605793,0.0071208073846837205,-2.147470761583151
405.8,0.005290783612668463,3.6136158397070983,0.00720479830061515,-2.1423781728175113
405.9,0.00535435612074126,3.6570359904748786,0.007289572703077439,-2.1372979282162374
406,0.005418536692442398,3.700871449922769,0.00737513297596729,-2.1322301448130965
406.1,0.005483327339802145,3.7451235922714847,0.007461481276621445,-2.127174946467994
406.2,0.005548729415771826,3.7897933415895007,0.0075486188636261185,-2.122132501983493
406.3,0.0056147441085331465,3.8348815094073085,0.0076365467702272476,-2.117102984051103
406.4,0.00568137260626766,3.880388907255298,0.007725266028653592,-2.112086556202549
406.5,0.0057486160971570695,3.9263163466639597,0.007814777670118392,-2.107083373116867
406.6,0.005816475769382972,3.9726646391637117,0.00790508272482026,-2.102093580918999
406.7,0.0058849528111269535,4.019434596284966,0.007996182221944583,-2.097117317469968
406.8,0.005954048410570722,4.066627029558215,0.008088077189664917,-2.09215471264881
406.9,0.006023763755895832,4.11424275051385,0.008180768655143878,-2.087205888626453
407,0.0060941000352839865,4.162282570682361,0.008274257644534787,-2.0822709601316287
407.1,0.006165058246413565,4.210747171480087,0.008368544924390564,-2.077350048128972
407.2,0.006236638624950082,4.259636713867047,0.008463630226397165,-2.072443319097086
407.3,0.0063088412160559595,4.308951228689266,0.008559513024039194,-2.0675509429149797
407.4,0.0063816660648934554,4.358690746792657,0.008656192791317992,-2.0626730794933796
407.5,0.006455113216624994,4.408855299023248,0.008753669002751438,-2.0578098791298403
407.6,0.006529182716412875,4.459444916226978,0.008851941133372928,-2.052961482853265
407.7,0.006603874609419398,4.51045962924979,0.00895100865873091,-2.0481280227579908
407.8,0.006679188940806987,4.56189946893771,0.009050871054888422,-2.0433096223276817
407.9,0.006755125755737898,4.613764466136651,0.009151527798422064,-2.03850639674929
